Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
48,Bogdan Bogdanović,SG,31,ATL,56,10,29.1,6.0,14.0,.430,3.1,8.3,.373,2.9,5.7,.514,.541,1.8,1.9,.916,0.6,2.7,3.3,2.8,1.3,0.3,1.2,2.4,16.9,bogdabo01
49,Bojan Bogdanović,PF-SF,34,TOT,34,27,31.5,6.8,14.5,.467,3.0,7.2,.419,3.7,7.3,.514,.571,2.7,3.5,.771,0.5,2.9,3.3,2.3,0.8,0.1,2.1,2.1,19.2,bogdabo02
49,Bojan Bogdanović,PF,34,DET,28,27,32.9,7.1,15.2,.468,3.1,7.4,.415,4.0,7.8,.518,.569,2.9,3.7,.779,0.5,2.9,3.4,2.5,0.8,0.1,2.3,2.0,20.2,bogdabo02
49,Bojan Bogdanović,SF,34,NYK,6,0,24.8,5.2,11.3,.456,2.8,6.5,.436,2.3,4.8,.483,.581,1.7,2.3,.714,0.5,2.7,3.2,1.2,0.8,0.2,1.2,2.7,14.8,bogdabo02
50,Bol Bol,PF,24,PHO,20,0,10.4,2.4,3.6,.653,0.4,1.0,.368,2.0,2.7,.755,.701,0.3,0.4,.750,1.0,2.4,3.3,0.5,0.3,0.7,0.5,1.1,5.4,bolbo01
51,Marques Bolden,C,25,TOT,3,0,2.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0,boldema01
51,Marques Bolden,C,25,MIL,2,0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,boldema01
51,Marques Bolden,C,25,CHO,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,boldema01
52,Devin Booker,PG,27,PHO,48,48,35.6,9.6,19.3,.496,2.1,5.7,.371,7.5,13.6,.549,.551,6.2,7.0,.876,0.7,3.9,4.6,7.0,0.9,0.4,2.6,3.0,27.5,bookede01
53,Brandon Boston Jr.,SF,22,LAC,18,0,6.9,1.3,3.3,.400,0.3,1.1,.300,1.0,2.2,.450,.450,0.6,0.7,.917,0.4,0.4,0.8,0.3,0.1,0.1,0.4,0.9,3.6,bostobr01
54,Chris Boucher,PF,31,TOR,47,0,13.7,2.1,4.3,.490,0.6,1.9,.322,1.5,2.4,.623,.561,1.4,1.8,.753,1.2,2.8,4.0,0.4,0.3,0.4,0.5,1.3,6.2,bouchch01
55,James Bouknight,SG,23,CHO,14,0,5.8,1.3,2.9,.439,0.9,2.1,.433,0.4,0.8,.455,.598,0.1,0.1,.500,0.1,0.6,0.6,0.4,0.1,0.1,0.1,0.2,3.6,bouknja01
56,Jamaree Bouyea,PG,24,POR,6,0,9.5,0.8,3.5,.238,0.0,1.3,.000,0.8,2.2,.385,.238,0.0,0.0,,0.3,1.3,1.7,1.3,0.0,0.0,1.3,0.5,1.7,bouyeja01
57,Malaki Branham,PG,20,SAS,54,21,20.3,3.3,7.8,.429,1.0,3.2,.327,2.3,4.6,.498,.495,0.6,0.7,.944,0.4,1.6,2.0,2.1,0.4,0.1,1.1,1.2,8.3,branhma01
58,Christian Braun,SG,22,DEN,58,0,19.1,2.5,5.8,.439,0.7,1.8,.358,1.9,3.9,.476,.496,1.3,1.8,.716,0.9,2.7,3.6,1.4,0.4,0.4,0.7,1.5,7.0,braunch01
59,Mikal Bridges,SF,27,BRK,58,58,35.0,7.4,16.8,.444,2.5,7.0,.354,5.0,9.7,.510,.519,3.7,4.5,.819,0.8,4.0,4.8,3.7,0.9,0.4,2.2,1.5,21.1,bridgmi01
